year,county,flag_yr,aian,asian,black_african_american,hawaiian_pacific_islander,white,two_or_more_races,other,hispanic_white,hispanic_two_or_more_races,hispanic_other
2012,Alameda,FALSE,305,7205,25061,856,12010,4,1,48,16519,36
2012,Alpine,FALSE,48,0,0,1,34,0,0,0,1,0
2012,Amador,FALSE,50,10,10,1,1447,27,37,83,3,49
2012,Butte,FALSE,346,710,510,38,10323,232,119,536,29,1145
2012,Calaveras,FALSE,44,20,20,4,2171,28,12,83,3,137
2012,Colusa,FALSE,18,9,17,3,272,12,10,236,4,120
2012,Contra Costa,FALSE,218,1694,10130,291,9464,600,703,85,116,9676
2012,Del Norte,FALSE,328,133,18,7,1835,45,15,133,2,113
2012,El Dorado,FALSE,69,67,73,11,4693,42,389,196,8,533
2012,Fresno,FALSE,915,5995,9675,432,17388,502,936,3487,145,49375
2012,Glenn,FALSE,35,60,27,4,763,13,0,479,1,20
2012,Humboldt,FALSE,882,200,181,35,5641,217,296,177,19,466
2012,Imperial,FALSE,134,44,255,6,1275,27,160,11490,45,601
2012,Inyo,FALSE,223,4,3,3,507,17,5,31,3,161
2012,Kern,FALSE,226,736,6748,83,17538,338,940,16932,189,14185
2012,Kings,FALSE,33,213,777,9,2546,31,140,601,17,5257
2012,Lake,FALSE,133,36,179,8,3890,69,45,167,11,503
2012,Lassen,FALSE,78,12,21,16,1114,22,2,35,4,83
2012,Los Angeles,TRUE,691,16162,104530,962,59552,31020,0,208397,1770,93900
2012,Madera,FALSE,95,81,401,8,2825,36,178,3071,55,3687
2012,Marin,FALSE,31,230,712,20,2651,72,30,1346,56,393
2012,Mariposa,FALSE,35,4,3,0,713,37,2,65,2,14
2012,Mendocino,FALSE,493,53,124,13,4976,141,83,392,27,940
2012,Merced,FALSE,96,1122,1668,55,5974,127,11,12350,60,540
2012,Modoc,FALSE,18,2,2,3,340,7,41,8,3,15
2012,Mono,FALSE,15,7,3,0,287,4,2,109,2,18
2012,Monterey,FALSE,52,398,791,79,3238,112,475,3483,226,10471
2012,Napa,FALSE,16,79,94,17,1466,51,10,1514,11,194
2012,Nevada,FALSE,43,30,21,5,3234,50,11,223,7,43
2012,Orange,FALSE,395,11633,3252,842,25038,306,0,2284,37,54169
2012,Placer,FALSE,143,173,261,79,6260,0,0,0,1311,0
2012,Plumas,FALSE,19,2,18,0,645,21,10,20,3,18
2012,Riverside,FALSE,406,1936,13632,374,30982,764,3880,12933,174,44153
2012,Sacramento,FALSE,1720,5980,24328,4177,36566,0,0,15022,0,3063
2012,San Benito,FALSE,6,19,18,2,643,6,0,1901,6,11
2012,San Bernardino,FALSE,648,2730,26682,596,38647,1077,3517,28582,285,48873
2012,San Diego,FALSE,775,5196,15223,1237,36903,204,1212,3543,56,48012
2012,San Francisco,FALSE,295,7362,8273,501,7267,2699,0,0,0,6513
2012,San Joaquin,FALSE,234,4700,7251,211,11620,409,694,7873,276,10522
2012,San Luis Obispo,FALSE,135,147,144,11,6145,0,0,2259,0,58
2012,San Mateo,TRUE,181,4294,2930,2168,122,0,1,3916,0,0
2012,Santa Barbara,FALSE,73,152,406,32,3838,68,16,8414,1062,136
2012,Santa Clara,FALSE,660,8956,3554,329,10795,0,0,0,0,24744
2012,Santa Cruz,FALSE,44,25,18,21,478,5180,0,4394,238,586
