variable,data_cell,na_pa_total,hispanic,var_pairs,race_ethnicity
X2,1,pa,0,1,aian
X3,2,na,0,2,aian
X4,3,total,0,3,aian
X5,7,pa,0,4,asian
X6,8,na,0,5,asian
X7,9,total,0,6,asian
X8,13,pa,0,7,asian_subcategory
X9,14,na,0,8,asian_subcategory
X10,15,total,0,9,asian_subcategory
X11,19,pa,0,10,asian_subcategory
X12,20,na,0,11,asian_subcategory
X13,21,total,0,12,asian_subcategory
X14,25,pa,0,13,asian_subcategory
X15,26,na,0,14,asian_subcategory
X16,27,total,0,15,asian_subcategory
X17,31,pa,0,16,asian_subcategory
X18,32,na,0,17,asian_subcategory
X19,33,total,0,18,asian_subcategory
X20,37,pa,0,19,asian_subcategory
X21,38,na,0,20,asian_subcategory
X22,39,total,0,21,asian_subcategory
X23,43,pa,0,22,asian_subcategory
X24,44,na,0,23,asian_subcategory
X25,45,total,0,24,asian_subcategory
X26,49,pa,0,25,asian_subcategory
X27,50,na,0,26,asian_subcategory
X28,51,total,0,27,asian_subcategory
X29,55,pa,0,28,asian_subcategory
X30,56,na,0,29,asian_subcategory
X31,57,total,0,30,asian_subcategory
X32,61,pa,0,31,asian_subcategory
X33,62,na,0,32,asian_subcategory
X34,63,total,0,33,asian_subcategory
X35,67,pa,0,34,asian_subcategory
X36,68,na,0,35,asian_subcategory
X37,69,total,0,36,asian_subcategory
X38,73,pa,0,37,black_african_american
X39,74,na,0,38,black_african_american
X40,75,total,0,39,black_african_american
X41,79,pa,0,40,hawaiian_pacific_islander
X42,80,na,0,41,hawaiian_pacific_islander
X43,81,total,0,42,hawaiian_pacific_islander
X44,85,pa,0,43,hawaiian_pacific_islander_subcategory
X45,86,na,0,44,hawaiian_pacific_islander_subcategory
X46,87,total,0,45,hawaiian_pacific_islander_subcategory
X47,91,pa,0,46,hawaiian_pacific_islander_subcategory
X48,92,na,0,47,hawaiian_pacific_islander_subcategory
X49,93,total,0,48,hawaiian_pacific_islander_subcategory
X50,97,pa,0,49,hawaiian_pacific_islander_subcategory
X51,98,na,0,50,hawaiian_pacific_islander_subcategory
